nohup: ignoring input
2025-07-18 23:11:31,133 | INFO | SiteGuardian Bot Engine launched.
2025-07-18 23:11:33,184 | INFO | [UPTIME] http://localhost:8085/health \u2192 200
2025-07-18 23:11:58,643 | ERROR | [UPTIME ERROR] http://localhost:8000/health: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-18 23:12:24,546 | ERROR | [UPTIME ERROR] http://localhost:8000/health: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-18 23:12:35,231 | INFO | [UPTIME] http://localhost:8085/health \u2192 200
2025-07-18 23:12:58,658 | ERROR | [UPTIME ERROR] http://localhost:8000/health: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-18 23:13:24,550 | ERROR | [UPTIME ERROR] http://localhost:8000/health: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-18 23:13:37,280 | INFO | [UPTIME] http://localhost:8085/health \u2192 200
2025-07-18 23:13:58,671 | ERROR | [UPTIME ERROR] http://localhost:8000/health: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-18 23:14:24,553 | ERROR | [UPTIME ERROR] http://localhost:8000/health: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-18 23:14:39,317 | INFO | [UPTIME] http://localhost:8085/health \u2192 200
2025-07-18 23:14:58,674 | ERROR | [UPTIME ERROR] http://localhost:8000/health: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-18 23:15:24,556 | ERROR | [UPTIME ERROR] http://localhost:8000/health: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-18 23:15:41,388 | INFO | [UPTIME] http://localhost:8085/health \u2192 200
2025-07-18 23:15:58,677 | ERROR | [UPTIME ERROR] http://localhost:8000/health: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-18 23:16:24,570 | ERROR | [UPTIME ERROR] http://localhost:8000/health: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-18 23:16:43,449 | INFO | [UPTIME] http://localhost:8085/health \u2192 200
